ED,1970-10-08,1970-10-31
EFX,1986-05-16,1986-06-08
EIX,1980-06-24,1980-07-17
EL,1999-10-20,1999-11-12
ELV,2004-11-26,2004-12-19
EMN,1998-02-25,1998-03-20
EMR,1979-09-10,1979-10-03
ENPH,2013-10-30,2013-11-22
EOG,1994-07-22,1994-08-14
EPAM,2013-09-16,2013-10-09
EQIX,2003-11-10,2003-12-03
EQR,1997-11-10,1997-12-03
EQT,1986-05-16,1986-06-08
ES,1980-04-24,1980-05-17
ESS,1998-07-25,1998-08-17
ETN,1979-09-10,1979-10-03
ETR,1979-09-10,1979-10-03
ETSY,2016-06-09,2016-07-02
EVRG,1980-04-24,1980-05-17
EW,2003-07-16,2003-08-08
EXC,1980-06-23,1980-07-16
EXPD,1990-04-02,1990-04-25
EXPE,2008-02-04,2008-02-27
EXR,2007-04-20,2007-05-13
F,1979-09-10,1979-10-03
FANG,2014-04-16,2014-05-09
FAST,1992-09-25,1992-10-18
FCX,1999-07-01,1999-07-24
FDS,2000-04-29,2000-05-22
FDX,1984-09-18,1984-10-11
FE,2001-07-02,2001-07-25
FFIV,2002-11-03,2002-11-26
FICO,1992-08-31,1992-09-23
FIS,2004-08-04,2004-08-27
FISV,1991-12-18,1992-01-10
FITB,1986-05-16,1986-06-08
FLT,2012-09-21,2012-10-14
FMC,1986-05-16,1986-06-08
FOX,2019-10-15,2019-11-07
FOXA,2019-10-15,2019-11-07
FRT,1980-06-24,1980-07-17
FSLR,2009-03-25,2009-04-17
FTNT,2011-10-21,2011-11-13
FTV,2017-06-27,2017-07-20
GD,1970-10-08,1970-10-31
GE,1970-10-08,1970-10-31
GEHC,2023-01-04,2023-01-27
GEN,1994-04-25,1994-05-18
GILD,1996-07-11,1996-08-03
GIS,1986-05-16,1986-06-08
GL,1986-11-01,1986-11-24
GLW,1987-11-27,1987-12-20
GM,2012-08-29,2012-09-21
GNRC,2012-01-02,2012-01-25
GOOG,2007-04-22,2007-05-15
GOOGL,2007-04-22,2007-05-15
GPC,1986-05-16,1986-06-08
GPN,2004-03-25,2004-04-17
GRMN,2004-02-20,2004-03-14
GS,2002-10-08,2002-10-31
GWW,1980-04-24,1980-05-17
HAL,1979-09-10,1979-10-03
HAS,1986-05-16,1986-06-08
HBAN,1986-05-16,1986-06-08
HCA,2012-12-03,2012-12-26
HD,1987-09-03,1987-09-26
HES,1986-05-16,1986-06-08
HIG,1999-11-13,1999-12-06
HII,2012-12-14,2013-01-06
HLT,2015-04-16,2015-05-09
HOLX,1994-11-26,1994-12-19
HON,1970-10-08,1970-10-31
HPE,2016-11-16,2016-12-09
HPQ,1970-10-08,1970-10-31
HRL,1986-05-16,1986-06-08
HSIC,1999-10-08,1999-10-31
HST,1986-05-16,1986-06-08
HSY,1986-05-16,1986-06-08
HUM,1987-11-27,1987-12-20
HWM,2017-10-07,2017-10-30
IBM,1970-10-08,1970-10-31
ICE,2008-05-15,2008-06-07
IDXX,1996-01-09,1996-02-01
IEX,1994-04-07,1994-04-30
IFF,1981-11-15,1981-12-08
ILMN,2003-10-29,2003-11-21
INCY,1998-01-21,1998-02-13
INTC,1986-05-16,1986-06-08
INTU,1997-07-02,1997-07-25
INVH,2017-12-24,2018-01-16
IP,1970-10-08,1970-10-31
IPG,1986-05-16,1986-06-08
IQV,2014-10-12,2014-11-04
IR,2018-03-20,2018-04-12
IRM,1999-12-24,2000-01-16
ISRG,2003-09-23,2003-10-16
IT,1997-12-27,1998-01-19
ITW,1980-05-12,1980-06-04
IVZ,1999-08-09,1999-09-01
J,1986-05-16,1986-06-08
JBHT,1989-07-12,1989-08-04
JCI,1992-10-29,1992-11-21
JKHY,1991-03-28,1991-04-20
JNJ,1970-10-08,1970-10-31
JNPR,2002-11-21,2002-12-14
JPM,1986-05-16,1986-06-08
K,1980-04-24,1980-05-17
KDP,2010-06-28,2010-07-21
KEY,1992-11-30,1992-12-23
KEYS,2016-01-09,2016-02-01
KHC,2016-08-18,2016-09-10
KIM,1996-05-20,1996-06-12
KLAC,1986-11-07,1986-11-30
KMB,1986-05-16,1986-06-08
KMI,2012-11-10,2012-12-03
KMX,2000-11-05,2000-11-28
KO,1970-10-08,1970-10-31
KR,1970-10-08,1970-10-31
L,1986-05-16,1986-06-08
LDOS,2009-02-27,2009-03-22
LEN,1986-05-16,1986-06-08
LH,1994-12-20,1995-01-12
LHX,1987-11-27,1987-12-20
LIN,1996-11-14,1996-12-07
LKQ,2006-07-24,2006-08-16
LLY,1979-09-10,1979-10-03
LMT,1983-08-18,1983-09-10
LNC,1986-05-16,1986-06-08
LNT,1980-04-24,1980-05-17
LOW,1986-05-16,1986-06-08
LRCX,1989-11-29,1989-12-22
LUV,1986-03-12,1986-04-04
LVS,2007-08-01,2007-08-24
LW,2017-10-14,2017-11-06
LYB,2012-03-07,2012-03-30
LYV,2008-06-14,2008-07-07
MA,2008-10-25,2008-11-17
MAA,1998-04-04,1998-04-27
MAR,2001-10-24,2001-11-16
MAS,1986-05-16,1986-06-08
MCD,1974-08-18,1974-09-10
MCHP,1997-07-08,1997-07-31
MCK,1998-12-05,1998-12-28
MCO,1998-11-27,1998-12-20
MDLZ,2004-07-29,2004-08-21
MDT,1980-06-23,1980-07-16
MET,2003-07-23,2003-08-15
META,2013-12-11,2014-01-03
MGM,1993-05-03,1993-05-26
MHK,1996-09-09,1996-10-02
MKC,1980-04-24,1980-05-17
MKTX,2007-06-28,2007-07-21
MLM,1998-04-21,1998-05-14
MMC,1980-04-24,1980-05-17
MMM,1970-10-08,1970-10-31
MNST,1991-04-14,1991-05-07
MO,1970-10-08,1970-10-31
MOH,2006-05-02,2006-05-25
MOS,1993-02-09,1993-03-04
MPC,2013-03-04,2013-03-27
MPWR,2007-07-10,2007-08-02
MRK,1970-10-08,1970-10-31
MRNA,2019-07-25,2019-08-17
MRO,1970-10-08,1970-10-31
MS,1997-06-18,1997-07-11
MSCI,2010-01-30,2010-02-22
MSFT,1991-07-03,1991-07-26
MSI,1970-10-08,1970-10-31
MTB,1986-05-16,1986-06-08
MTCH,1997-05-19,1997-06-11
MTD,2001-07-05,2001-07-28
MU,1989-12-23,1990-01-15
NCLH,2014-07-09,2014-08-01
NDAQ,2005-06-23,2005-07-16
NDSN,1986-05-17,1986-06-09
NEE,1980-04-24,1980-05-17
NEM,1986-05-16,1986-06-08
NFLX,2005-05-20,2005-06-12
NI,1980-04-24,1980-05-17
NKE,1986-12-25,1987-01-17
NOC,1987-11-27,1987-12-20
NOW,2014-01-16,2014-02-08
NRG,2006-09-11,2006-10-04
NSC,1988-04-06,1988-04-29
NTAP,1999-10-24,1999-11-16
NTRS,1986-05-16,1986-06-08
NUE,1986-05-16,1986-06-08
NVDA,2002-07-12,2002-08-04
NVR,1990-12-15,1991-01-07
NWL,1986-05-16,1986-06-08
NWS,2014-11-16,2014-12-09
NWSA,2014-11-16,2014-12-09
NXPI,2012-06-01,2012-06-24
O,1998-11-16,1998-12-09
ODFL,1996-04-25,1996-05-18
OGN,2021-08-25,2021-09-17
OKE,1986-11-01,1986-11-24
OMC,1986-05-16,1986-06-08
ON,2003-08-16,2003-09-08
ORCL,1991-07-02,1991-07-25
ORLY,1997-08-07,1997-08-30
OTIS,2020-08-29,2020-09-21
OXY,1987-11-27,1987-12-20
PARA,2008-06-01,2008-06-24
PAYC,2015-08-01,2015-08-24
PAYX,1989-04-27,1989-05-20
PCAR,1986-05-16,1986-06-08
PCG,1979-09-10,1979-10-03
PEAK,1990-10-24,1990-11-16
PEG,1986-03-12,1986-04-04
PEP,1979-09-10,1979-10-03
PFE,1979-09-10,1979-10-03
PFG,2004-11-20,2004-12-13
PG,1970-10-08,1970-10-31
PGR,1986-05-16,1986-06-08
PH,1986-05-16,1986-06-08
PHM,1986-05-16,1986-06-08
PKG,2003-05-26,2003-06-18
PKI,1980-04-24,1980-05-17
